datestr,XCENU,YCENU,XCENO,YCENO,DXCEN,DYCEN,totalTime,timeOfYear,timeOfDay,T_SPCCD,T_SPCEB
20160511_170606,716.965637,96.499786,699.316101,49.803066,17.649536,46.696720,9.633984,0.360609,0.712569,-40.905200,-6.271320
20160511_184336,727.309875,92.665039,709.397461,49.011707,17.912415,43.653332,9.634169,0.360795,0.780278,-40.739200,-6.976890
20160511_201936,737.328552,94.808632,719.207520,48.446613,18.121033,46.362019,9.634352,0.360977,0.846944,-43.802800,-6.912470
20160511_205006,738.970154,95.476326,722.181580,48.234539,16.788574,47.241787,9.634410,0.361035,0.868125,-45.863600,-6.335230
20160511_215705,747.478821,91.893166,728.824951,47.763641,18.653870,44.129524,9.634537,0.361163,0.914641,-41.983100,-7.019850
20160512_062433,795.429504,88.304588,776.343994,44.096603,19.085510,44.207985,9.635502,0.362127,0.267049,-37.993100,-7.429060
20160512_073535,800.701965,90.295036,782.743469,43.608173,17.958496,46.686863,9.635637,0.362262,0.316377,-45.452000,-10.733500
20160512_080125,803.274719,90.030899,785.023132,43.378887,18.251587,46.652012,9.635686,0.362312,0.334317,-37.993100,-6.122440
20160512_091405,809.533203,89.492828,791.241028,42.879257,18.292175,46.613571,9.635824,0.362450,0.384780,-45.122600,-9.950740
20160512_094505,810.789246,89.847397,793.944519,42.611286,16.844727,47.236111,9.635883,0.362509,0.406308,-36.907800,-5.529600
20160513_031635,588.662354,224.299011,572.388000,177.725357,16.274353,46.573654,9.637882,0.364508,0.136516,-47.342800,-10.441900
20160513_045505,599.778320,223.670013,584.284485,177.154266,15.493835,46.515747,9.638070,0.364695,0.204919,-46.274900,-10.218300
20160513_064735,613.724426,222.093735,597.570557,176.476151,16.153870,45.617584,9.638283,0.364909,0.283044,-40.573100,-7.385890
20160513_081156,623.243469,222.510666,607.314453,176.041916,15.929016,46.468750,9.638444,0.365069,0.341620,-45.122600,-10.017600
20160513_095005,635.828613,221.774139,618.669434,175.446686,17.159180,46.327454,9.638630,0.365256,0.409780,-45.863600,-10.374800
20160513_112835,646.702332,221.762085,629.870422,174.844009,16.831909,46.918076,9.638818,0.365443,0.478183,-44.957800,-10.890900
20160513_130705,656.111023,221.830032,640.956055,174.225525,15.154968,47.604507,9.639005,0.365631,0.546586,-47.096600,-11.183900
20160513_145135,667.934875,220.966553,652.427002,173.558823,15.507874,47.407730,9.639204,0.365829,0.619155,-43.967900,-9.528800
20160513_163905,680.596008,219.974518,664.091553,172.861450,16.504456,47.113068,9.639408,0.366034,0.693808,-41.071200,-7.862110
20160513_181905,690.747009,218.820724,674.686523,171.786987,16.060486,47.033737,9.639598,0.366224,0.763252,-40.656200,-7.710280
20160513_195235,700.666809,219.277115,684.639099,171.625687,16.027710,47.651428,9.639776,0.366402,0.828183,-41.568800,-8.188370
20160513_212935,709.680969,218.425858,694.681458,167.581802,14.999512,50.844055,9.639960,0.366586,0.895544,-43.141800,-8.603560
20160513_230435,720.608398,217.993591,704.298523,170.394379,16.309875,47.599213,9.640141,0.366767,0.961516,-43.885400,-9.418130
20160514_021405,738.438660,216.878098,723.108459,169.166458,15.330200,47.711639,9.640501,0.367127,0.093113,-45.369700,-11.003500
20160514_035235,748.967102,216.185715,732.533142,168.513245,16.433960,47.672470,9.640689,0.367314,0.161516,-45.781300,-10.935900
20160514_053105,757.040955,215.966400,741.802490,167.861221,15.238464,48.105179,9.640876,0.367501,0.229919,-45.122600,-10.756000
20160514_070935,765.960388,215.880188,750.917480,166.783295,15.042908,49.096893,9.641063,0.367689,0.298322,-45.863600,-10.913400
20160514_084735,774.668396,215.459320,759.801514,165.697464,14.866882,49.761856,9.641249,0.367875,0.366377,-45.945900,-11.116200
20160514_110006,790.113708,197.730026,773.010559,153.471069,17.103149,44.258957,9.641501,0.368127,0.458403,-39.658900,-7.818680
20160514_123536,798.571960,197.104782,781.121399,152.818329,17.450562,44.286453,9.641683,0.368309,0.524722,-40.407000,-8.014180
20160514_155319,814.382019,195.813034,797.574951,151.069611,16.807068,44.743423,9.642059,0.368685,0.662025,-38.743300,-5.910220
20160514_172535,821.983093,195.147659,804.990967,150.804642,16.992126,44.343018,9.642234,0.368860,0.726100,-38.076500,-6.335230
20160514_190905,830.090027,194.652802,813.024902,150.081818,17.065125,44.570984,9.642431,0.369057,0.797975,-39.409400,-7.019850
20160514_204735,837.247314,194.258423,820.479492,149.390823,16.767822,44.867599,9.642618,0.369244,0.866377,-38.660000,-7.127330
20160515_095435,889.915344,189.614441,872.621582,143.842468,17.293762,45.771973,9.644115,0.370740,0.412905,-37.575900,-8.450340
20160515_162918,911.041260,187.302902,893.401062,141.033234,17.640198,46.269669,9.644865,0.371491,0.687014,-38.826600,-7.450670
20160515_181805,916.092102,188.276901,898.576599,140.265091,17.515503,48.011810,9.645072,0.371698,0.762558,-40.988200,-8.559750
20160518_064128,636.925354,365.364349,620.900085,318.645905,16.025269,46.718445,9.651961,0.378587,0.278796,-37.659400,-6.698210
20160518_181319,706.611755,363.922852,689.688477,315.021942,16.923279,48.900909,9.653277,0.379902,0.759248,-42.480000,-5.889050
20160519_033619,753.722473,364.355652,739.562500,312.028900,14.159973,52.326752,9.654347,0.380973,0.150220,-45.616700,-8.757050
20160519_103905,786.553162,365.590057,770.886536,316.864136,15.666626,48.725922,9.655151,0.381776,0.443808,-45.369700,-9.750630
20160519_121735,793.481750,365.814667,778.186035,317.119537,15.295715,48.695129,9.655338,0.381964,0.512211,-39.492600,-9.351770
20160519_135535,799.711121,365.117645,785.216064,316.574921,14.495056,48.542725,9.655524,0.382150,0.580266,-38.993200,-8.822920
20160519_185105,-146.185425,-86.757957,-162.458298,-130.170029,16.272873,43.412071,9.656086,0.382712,0.785475,-40.490100,-8.866850
20160519_202935,-131.868683,-86.670738,-147.819809,-130.203827,15.951126,43.533089,9.656273,0.382899,0.853877,-40.490100,-8.603560
20160519_220735,-117.385017,-85.955116,-133.258804,-129.888412,15.873787,43.933296,9.656460,0.383085,0.921933,-39.742100,-8.603560
20160520_012522,-86.692314,-86.160583,-103.672798,-130.358383,16.980484,44.197800,9.656836,0.383461,0.059282,-40.407000,-6.955400
20160520_030305,-70.986397,-86.499657,-89.034554,-130.427368,18.048157,43.927711,9.657022,0.383647,0.127141,-39.409400,-7.234970
20160520_044105,-58.136780,-86.573784,-74.318840,-130.507141,16.182060,43.933357,9.657208,0.383834,0.195197,-39.991500,-7.407470
20160520_075805,-27.334009,-86.594543,-44.732986,-130.346008,17.398977,43.751465,9.657582,0.384208,0.332002,-39.326100,-8.559750
20160520_125352,16.522144,-85.727585,-0.161171,-131.049988,16.683315,45.322403,9.658145,0.384770,0.537407,-39.326100,-6.741020
20160520_143135,29.410166,-86.090965,14.554563,-131.184067,14.855603,45.093102,9.658331,0.384956,0.605266,-37.826300,-7.019850
